TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
6,81E+13;0.1669;-10.301;103.665
6,81E+13;0.4579;-0.9007;99.880
6,81E+13;0.5178;-0.8912;96.970
6,81E+13;0.4998;-0.9858;98.838
6,81E+13;0.5597;-11.175;100.216
6,81E+13;0.5310;-10.409;101.282
6,81E+13;0.3621;-0.9007;97.185
6,81E+13;0.5681;-0.8229;98.443
6,81E+13;0.7106;-0.8397;103.330
6,81E+13;0.7957;-0.9403;96.143
6,81E+13;0.6172;-0.9918;101.186
6,81E+13;0.4735;-10.241;93.077
6,81E+13;0.3118;-0.8480;101.186
6,81E+13;0.4879;-0.8948;98.084
6,81E+13;0.6639;-0.8397;97.425
6,81E+13;0.7035;-0.9606;99.701
6,82E+13;0.5981;-0.9870;96.778
6,82E+13;0.4747;-0.9726;98.287
6,82E+13;0.3729;-10.433;100.060
6,82E+13;0.5058;-0.8504;100.084
6,82E+13;0.6603;-0.9918;103.270
6,82E+13;0.5561;-0.8588;96.263
6,82E+13;0.8484;-10.385;98.395
6,82E+13;0.5142;-0.9762;97.964
6,82E+13;0.3657;-0.8085;98.539
6,82E+13;0.2687;-0.8864;98.659
6,82E+13;0.5118;-0.8756;95.401
6,82E+13;0.6651;-0.8804;100.252
6,82E+13;0.5813;-0.8995;95.233
6,82E+13;0.2747;-0.8564;92.861
6,82E+13;0.4256;-10.373;96.898
6,82E+13;0.1968;-0.7894;97.185
6,82E+13;0.2351;-0.9295;96.167
6,82E+13;0.2064;-0.7786;95.496
6,82E+13;0.5561;-10.469;98.203
6,82E+13;0.5274;-10.253;98.203
6,82E+13;0.3753;-0.9702;91.077
6,82E+13;0.2866;-0.8516;102.192
6,82E+13;0.2447;-10.109;98.778
6,82E+13;0.0806;-0.8852;100.838
6,82E+13;0.4328;-10.385;93.281
6,82E+13;0.6627;-0.9690;102.096
6,82E+13;0.5849;-0.9654;98.802
6,82E+13;0.3238;-0.8864;96.347
6,82E+13;0.1609;-0.9511;100.287
6,82E+13;0.3657;-0.8373;96.766
6,82E+13;0.3274;-0.8576;98.299
6,82E+13;0.3861;-0.9558;97.329
6,82E+13;0.7166;-10.145;103.210
6,82E+13;0.4903;-0.9798;98.647
